Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Month
Haywood Highsmith,PF,27,MIA,30,18,21.4,2.1,5.0,0.417,1.1,3.0,0.371,1.0,2.1,0.484,0.526,0.6,0.8,0.783,0.8,2.1,2.9,1.2,1.1,0.5,0.7,1.9,5.9,01-2024
Nate Hinton,SG,24,HOU,5,0,5.2,0.8,1.8,0.444,0.8,1.0,0.8,0.0,0.8,0.0,0.667,0.0,0.0,,0.4,0.6,1.0,0.2,0.0,0.0,0.2,1.0,2.4,01-2024
D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,0.333,0.4,1.7,0.25,0.3,0.4,0.667,0.433,0.1,0.3,0.5,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0,01-2024
Aaron Holiday,PG,27,HOU,41,1,17.1,2.3,5.3,0.444,1.2,2.9,0.403,1.2,2.4,0.495,0.556,0.8,0.8,0.912,0.2,1.6,1.9,1.6,0.6,0.1,0.7,1.5,6.6,01-2024
Jrue Holiday,PG,33,BOS,40,40,33.8,5.0,11.0,0.456,2.1,4.9,0.418,3.0,6.1,0.486,0.549,1.2,1.4,0.821,1.5,4.8,6.2,4.6,0.8,0.8,1.9,1.7,13.2,01-2024
Justin Holiday,SG,34,DEN,25,6,13.0,1.3,2.7,0.493,0.8,1.9,0.447,0.5,0.8,0.6,0.649,0.0,0.0,,0.2,1.0,1.2,1.0,0.6,0.0,0.2,1.1,3.5,01-2024
Richaun Holmes,C,30,DAL,18,1,9.8,1.4,2.7,0.521,0.0,0.0,,1.4,2.7,0.521,0.521,0.5,1.0,0.5,1.6,1.9,3.5,0.5,0.1,0.3,0.6,1.2,3.3,01-2024
Chet Holmgren,C,21,OKC,44,44,30.2,6.4,11.9,0.541,1.6,4.1,0.385,4.8,7.8,0.625,0.608,2.6,3.4,0.779,1.5,5.8,7.3,2.8,0.6,2.6,1.7,2.7,17.1,01-2024
Jalen Hood-Schifino,SG,20,LAL,12,0,7.1,0.7,2.8,0.242,0.1,0.8,0.111,0.6,2.0,0.292,0.258,0.6,1.0,0.583,0.2,0.7,0.8,0.6,0.3,0.1,0.7,0.8,2.0,01-2024
Al Horford,C,37,BOS,36,17,27.2,2.9,6.0,0.491,1.6,3.9,0.415,1.3,2.1,0.635,0.627,0.3,0.4,0.857,1.4,5.5,6.9,2.8,0.5,1.0,0.8,1.6,7.9,01-2024
